	sentence	label
59	-- Холодно?	neutral
60	-- Да нет, это выйдет: и работу убивать и деньги попусту тратить, -- сказал Петрович, и Акакий Акакиевич после таких слов вышел совершенно уничтоженный.	neutral
62	-- Злодей!..	negative
63	-- Давай сюда!	neutral
64	-- Ничего я не буду делать!	negative
65	-- Довольно, маменька; я бы позавтракал?	neutral
66	-- Да уж поскорей ему звезду, папаша, а то что в самом деле, атташе да атташе!	neutral
67	-- Да, Дон-Жуан, пустой человек: так, что ли, по-вашему?	neutral
68	-- Упал...	neutral
70	-- Я зна-аю!	neutral
71	-- Да мне что ж?	neutral
72	-- Я, знаете ли, что посоветую вам, Яков Петрович, -- продолжал Антон Антонович.	neutral
73	-- Осень идёт, Илюха...	neutral
73	-- Голубчик ты мой, Сашенька!	positive
74	-- Вы их немедленно получите, -- ответил генерал, покраснев немного, порылся у себя в бюро, справился в книжке, и оказалось, что за ним моих денег около ста двадцати рублей.	neutral
75	-- Тут...	neutral
76	-- А войне все-таки не бывать.	neutral
77	-- Оставьте!	negative
79	-- Вот и пришли Лазари, весь город облазили, везде напроказили!..	negative
80	-- Да, -- прошептала она с усилием и с беспокойством смотря на меня.	neutral
82	-- У меня всего много, -- сказал он упрямо, -- за всяким клопом не усмотришь, в щелку к нему не влезешь.	neutral
83	-- Ох, молодежь, молодежь!	neutral
84	-- Хорошо, привезите!	positive
85	-- А?	neutral
86	-- Я её упреждал, -- перестань, стерво!	negative
87	-- Вот погоди -- родишь ты мне сына, -- совсем другая жизнь у тебя пойдет.	neutral
88	-- О-о-у-о-о!..	neutral
89	-- Хочу знать правду.	neutral
90	-- Крестьян Иванович!	neutral
92	-- Седые -- ничего...	neutral
93	-- Пусти и меня, братцы!	neutral
94	-- А...	neutral
95	-- Распустили они слух, что он уже дал подписку жениться, что он уже жених с другой стороны...	neutral
98	-- Что делаешь?	neutral
99	-- О нет, в этом будьте совершенно удостоверены.	neutral
100	-- Я за шпоры не могу взять меньше пятнадцати рублей, -- произнес он, желая отделаться от Пирогова, потому что ему, как честному немцу, очень совестно было смотреть на того, кто видел его в неприличном положении.	neutral
101	-- Да, да, вы правы, это ужасно!	negative
102	-- Кто ж это лоб пробил вам, ненько?	neutral
103	-- А ты собирай эти штучки и тащи их домой.	neutral
104	-- У него рыжая лошадь, -- продолжал Волков, -- у них в полку рыжие, а у меня вороная.	neutral
105	-- Если вы человек себя уважающий, -- пустился я далее, -- то непременно напроситесь на ругательства и должны выносить чрезвычайные щелчки.	neutral
108	-- Ну, уж и ко двору!	positive
109	-- Из книжной лавки: ходил узнать, не вышли ли журналы.	neutral
110	-- Я забыл вам сказать, -- начал Захар, -- давеча, как вы еще почивали, управляющий дворника прислал: говорит, что непременно надо съехать...	neutral
111	-- Князь Лев Николаевич Мышкин, -- отвечал тот с полною и немедленною готовностью.	neutral
113	-- Боюсь я -- Фомка-то в мать бы не пошел...	negative
114	-- Будут, будут, -- подхватил чиновник, -- к вечеру, до зари еще, будут!	neutral
115	-- Может, вынести его на волю?	neutral
116	-- Пафнутий?	neutral
118	-- Как, Настасья Филипповна!	neutral
118	-- Ах, maman, перестаньте представляться, пожалуйста, -- с досадой перебила Аглая.	negative
119	-- В город.	neutral
120	-- Мне всё равно, -- продолжал я.	neutral
121	-- А ежели уморит?	negative
122	-- Разумеется, есть цель, -- сказал я, -- но я не сумею объяснить -- какая.	neutral
123	-- Я вам проценты еще за месяц внесу; потерпите.	neutral
124	-- Что обрадовался, али копейку нашёл?	neutral
129	-- Ну, это, пожалуй, уберу, -- сказал Захар снисходительно, взяв тарелку.	neutral
130	-- Ну, что ты сделал?	neutral
131	-- А!..	neutral
133	-- Дядя Савёл, брось!	neutral
134	-- Чего ты хочешь позавтракать: чайку прежде или кофейку?	neutral
137	-- Верители, Крестьян Иванович?	neutral
139	-- Гм...	neutral
140	-- Спит?	neutral
141	-- Нет, еще не просила; да, может быть, и никогда не попросит.	neutral
142	-- Ну вот!	neutral
143	-- Прощай, прощай, мой друг!	positive
145	-- Лучше-то как нельзя?	neutral
146	-- А ты нет, конечно?	neutral
147	-- Да поди ты.	neutral
148	-- Стыдитесь, сударь, стыдитесь!	negative
149	-- Ишь их, дьяволиц, порет!	negative
151	-- Ты никогда ничего не знаешь.	negative
153	-- Пиши ко мне!	neutral
154	-- Он также ведь не из здешних.	neutral
155	-- Ничего, Андрей Филиппович, совершенно ничего; дерзкая девчонка, больше ничего...	negative
156	-- Кто там?	neutral
157	-- Извольте, иду, хоть это и дикая фантазия.	neutral
158	-- Да; всего только сутки в России, а уж такую раскрасавицу знаю, -- ответил князь и тут же рассказал про свою встречу с Рогожиным и передал весь рассказ его.	positive
159	-- Швернот!	neutral
164	-- Вы ничего не говорите, так что ж тут стоять-то даром?	neutral
166	-- Папенька!	positive
167	-- Не согласен!	negative
168	-- Ну, посещайте Мездровых, -- перебил Волков, -- там уж об одном говорят, об искусствах; только и слышишь: венецианская школа, Бетховен да Бах, Леонардо да Винчи...	neutral
169	-- И, ангел мой, что прощаться, далекий ли путь!	neutral
170	-- Как же живут другие, почти все?	neutral
171	-- Погоди, погоди -- выслушай, что я хочу сказать!	neutral
172	-- Одёжу?	neutral
173	-- Знал ты их?	neutral
174	-- Отчего?	neutral
175	-- Нет, Ваня, нет!	negative
178	-- Что за дичь?	neutral
179	-- Удивительное лицо!	neutral
180	-- Не знаю, -- говорю.	neutral
184	-- Это тоже -- Дон-Жуан?	neutral
185	-- Зачем?	neutral
186	-- Давай!	neutral
190	-- И это почти что нет.	neutral
192	-- Без тепла, без воды...	neutral
193	-- Да, он влюблен в меня, -- отвечала Полина.	neutral
194	-- Эх ты!	neutral
195	-- Сейчас пустят...	neutral
196	-- А что, Пульхерия Ивановна, может быть, пора закусить чего-нибудь?	neutral
197	-- Он застенчив и влюбчив и уж, конечно, влюблен в вас?	neutral
199	-- Ужели и после обеда?	neutral
200	-- Вит еще, вот это не забудьте!	neutral
201	-- Гляди, Матвей, святым будешь, пожалуй?	neutral
202	-- Ты же от почтальона принял его: грязное такое!	negative
203	-- Здравствуй, Петрович!	neutral
205	-- Эге-ге-ге!	neutral
208	-- Куда ты едешь, мой друг, зачем?	neutral
209	-- Так вот-с...	neutral
210	-- Я не могу жениться ни на ком, я нездоров.	neutral
212	-- Ты, Терёха, надзирай за ним!	neutral
213	-- Я...	neutral
215	-- Вы зарапортовались и потеряли вашу нитку.	neutral
218	-- Так нельзя!	negative
219	-- Умереть хочет хромой-то!	negative
220	-- Отвори!	neutral
222	-- Да ведь ты же сама говорила сейчас Анне Андреевне, может быть, не пойдешь из дому...	neutral
223	-- Скажи Николаю Васильевичу, что мы садимся обедать, -- с холодным достоинством обратилась старуха к человеку.	neutral
225	-- Верно!	neutral
227	-- Ну что, Наталья?	neutral
228	-- И то!	neutral
229	-- Мне кажется, как будто эта каша, -- говаривал обыкновенно Афанасий Иванович, -- немного пригорела; вам этого не кажется, Пульхерия Ивановна?	negative
230	-- Ах, какие мы нежные!	neutral
232	-- Ничего-о!	neutral
233	-- Полноте, полноте!	neutral
236	-- Блистаю спокойствием и наслаждаюсь этим; и она тоже...	positive
237	-- Расскажи сказочку!..	neutral
239	-- Сядьте, сядьте все!	neutral
241	-- Не разродится она так-то...	neutral
242	-- Нет, нет...	neutral
243	-- Да, новую, -- сказал с варварским спокойствием Петрович.	neutral
244	-- Добрый вечер!	positive
246	-- Jawohl, 3 -- протянул я, продолжая смотреть ему прямо в глаза.	neutral
247	-- Не смейся, не смейся, батьку!	negative
248	-- А почерк превосходный.	positive
249	-- Что, что, что?	neutral
250	-- Врешь!	negative
251	-- Да-с, не из здешних мест.	neutral
255	-- Послушай,  Хома!	neutral
256	-- Я теперь что хочу, то и делаю!..	positive
258	-- А генеральша когда принимает?	neutral
259	-- Нет.	neutral
260	-- Погоди...	neutral
261	-- Да-с, есть-с; однофамилец ваш.	neutral
262	-- От портного.	neutral
263	-- О торговле, об эмансипации женщин, о прекрасных апрельских днях, какие выпали нам на долю, и о вновь изобретенном составе против пожаров.	neutral
264	-- О чем ты задумался?	neutral
266	-- Ты, Савёл, за что издеваешься надо мною?	neutral
267	-- Молись усердно за меня и за всю мою семью, Матвей!	neutral
269	-- Как, неужели вы намерены еще продолжать это проклятое дело!	negative
270	-- Ну, поди, я посмотрю сейчас.	neutral
272	-- По Волге ездил...	neutral
274	-- Разумеется, нет!	neutral
276	-- Зачем же отучить?	neutral
277	-- Здесь у вас в комнатах теплее, чем за границей зимой, -- заметил князь, -- а вот там зато на улицах теплее нашего, а в домах зимой -- так русскому человеку и жить с непривычки нельзя.	neutral
278	-- Извините, дядюшка...	positive
279	-- Да ладно...	neutral
280	-- Кш...	negative
281	-- Как же хочешь ты со мною биться?	neutral
283	-- Вот так лучше положить чемодан, -- говорил один, -- а тут бы коробок с провизией.	neutral
284	-- А ты что ж не поругаешь меня?	neutral
286	-- Про что?	neutral
287	-- Ну, и ничего, ну, и ничего, господа!	neutral
290	-- Не пускают в город-то?	neutral
291	-- Однако как же это так?	neutral
294	-- Верно.	neutral
296	-- Не хочешь, значит?	neutral
299	-- Как не наши?	neutral
300	-- Да, Крестьян Иванович, позвольте же мне теперь, говорю, удалиться.	neutral
301	-- О, у меня время терпит; у меня время совершенно мое (и князь тотчас же поставил свою мягкую, кругло-полую шляпу на стол).	neutral
304	-- Ревут они у тебя...	neutral
306	-- Фердыщенко.	neutral
307	-- Куда прикажете?	neutral
309	-- А кто не припомнит псаря Микиту, или того...	neutral
310	-- А то как же?	neutral
311	-- Трудятся для этого, работают, значит...	neutral
314	-- Может быть, ты...	neutral
317	-- Рассказать ли тебе сказочку?	neutral
318	-- Я действительно считаю себя вправе делать вам всякие вопросы, -- отвечал я спокойно, -- именно потому, что готов как угодно за них расплатиться, и свою жизнь считаю теперь ни во что.	neutral
319	-- Я, Крестьян Иванович, -- стал продолжать господин Голядкин всё в прежнем тоне, немного раздраженный	negative
320	-- Может ты, Матвей, даже генеральский сын, только это -- не велика важность!	negative
321	-- У меня и блохи есть!	neutral
322	-- В вашем вопросе есть и ответ:	neutral
323	-- Да пускай их!	neutral
324	-- Вот ведь тоже феномен!	neutral
327	-- Я сейчас позову моего мужа, -- вскрикнула немка и ушла, и чрез несколько минут Пирогов увидел Шиллера, выходившего с заспанными глазами, едва очнувшегося от вчерашнего похмелья.	neutral
329	-- Я ведь знаю, Ваня, как ты любил меня, как до сих пор еще любишь, и ни одним-то упреком, ни одним горьким словом ты не упрекнул меня во всё это время!	positive
330	-- Кукубенка выбрать!	neutral
333	-- Точно так-с.	neutral
334	-- А мы бы уже за все это, -- продолжал философ, -- расплатились бы завтра как следует -- чистоганом.	neutral
336	-- Нет, я не усядусь на скамеечке.	neutral
338	-- Русских книг?	neutral
345	-- Бабушка!	neutral
346	-- А генерал влюблен окончательно?	neutral
347	-- Я уж об этом думал; если позволите.	neutral
348	-- Так разве ты...	neutral
349	-- Клади палицу!	neutral
350	-- В самом деле?	neutral
351	-- Наталья!	neutral
353	-- Вот, Матвей, на твоё счастье явился случай -- хватай его, коли хочешь человеком быть!	neutral
354	-- Чего вам?	neutral
356	-- Ну, Саша, -- сказала она, помолчав немного, ты теперь едешь на чужую сторону...	neutral
357	-- Ревут, батюшка, ревут.	neutral
358	-- Мало.	neutral
359	-- Это что?	neutral
361	-- Вы высказали свой приговор сами, кузина, -- напал он бурно на нее, --	neutral
362	-- Что ж, некому платить, что ли, было?	neutral
363	-- А за ваши?..	neutral
364	-- Ну его, ребята, ко всем псам!	negative
366	-- Прощайте-с...	neutral
367	-- Что ты хочешь?	neutral
368	-- Точно так-с, -- отвечал я.	neutral
369	-- Так вы еще и родственник?	neutral
370	-- Погодите, старички почтенные, -- всему мера есть.	neutral
371	-- На той неделе, -- сказал Судьбинский.	neutral
372	-- Ты -- чего?	neutral
374	-- Чай-то от хозяйки, что ль?	neutral
376	-- Вероятно, одно только безобразие, -- пробормотал тоже несколько замешавшийся Ганя, -- купеческий сынок гуляет: Я про него что-то уже слышал.	negative
379	-- Это все выдумки.	neutral
380	-- В чем тут извиняться?	neutral
381	-- Да ничего особенного.	neutral
382	-- Ай-ай!	negative
383	-- Папочка!	neutral
384	-- Полноте, успокойтесь, садитесь!	negative
385	-- Тащи его в часть!	neutral
388	-- Ничего!	neutral
389	-- А ты в колодезь не плюй.	negative
390	-- Вот еще!	neutral
391	-- Нет-с, я, -- извините, что прерываю вас, Антон Антонович, -- я, Антон Антонович, хотел бы узнать, как же этот чиновник, то есть на каком он здесь основании?	neutral
393	-- Послушайте, -- сказал я, почти не зная, с чего и начать, -- не горюйте об Азорке.	neutral
394	-- Я бы, на вашем месте, непременно вышла замуж за англичанина.	neutral
395	-- Бородатого, Бородатого посадим в кошевые!	neutral
396	-- Эх, славное место!	positive
397	-- Вы забудете меня там?	neutral
399	-- А!	neutral
400	-- Что?	neutral
401	-- Да-а...	neutral
402	-- Ну, так и есть!	neutral
403	-- Ну что, весело тебе было вчера?	neutral
405	-- Саша!..	neutral
407	-- Я расскажу про Микиту, -- сказал Спирид.	neutral
408	-- Нет, -- мол, -- выйдет!	neutral
409	-- Да уж на чем бы то ни было.	neutral
410	-- Вы извините меня...	neutral
412	-- Я ещё лошадь себе куплю...	neutral
416	-- Разве мы хотим быть только сытыми?	neutral
418	-- Нет, где там!..	neutral
419	-- Так уж и думать об этом нечего?	neutral
422	-- Добивай!	negative
424	-- Что с вами?	neutral
426	-- Если хотите -- не знаю.	neutral
427	-- А если бы и кладовая сгорела?	neutral
428	-- А что вы думаете, вас пожалею?	neutral
430	-- Что?	neutral
431	-- Вот попробуйте, Афанасий Иванович, какой хороший арбуз.	positive
432	-- Како от хозяйки!	neutral
433	-- Да.	neutral
435	-- Так сделайте мне оправу к кинжалу.	neutral
437	-- А, mademoiselle Blanche!..	neutral
441	-- Не вините меня!	neutral
442	-- Позвольте, позвольте!..	neutral
443	-- Покорно благодарю, Антон Иваныч!	positive
445	-- Да, вижу и жалею: ma tante, Надежда Васильевна, постоянно жалуется на тик, а папа на приливы...	neutral
446	-- Стало быть, если долго ждать, то я бы вас попросил: нельзя ли здесь где-нибудь покурить?	neutral
447	-- Этого быть не может, -- вскипел французик, -- французский солдат не станет стрелять в ребенка!	negative
450	-- Я ведь не отказываюсь.	neutral
452	-- Так или нет -- не знаю!	neutral
454	-- Да, да слышал.	neutral
455	-- Береги, смотри…	neutral
456	-- Что!..	neutral
458	-- Ну да, ум главное!	neutral
460	-- Мое добро!	neutral
461	-- Отличный!	positive
463	-- Уж теперь должен быть в Неплюеве.	neutral
464	-- Да-с: кадочка меду, мешок сушеной малины...	positive
466	-- Значит, коли я умру, так ты тоже заплачешь?	neutral
467	-- Зачем?	neutral
468	-- Лыка.	neutral
469	-- Прощай, Евсей Иваныч, прощай, голубчик, не забывай нас!	positive
470	-- Терпи, знай!	neutral
471	-- Почему же?	neutral
472	-- У вас же такие славные письменные принадлежности, и сколько у вас карандашей, сколько перьев, какая плотная, славная бумага...	positive
476	-- А то делается, что и родились и крестились, еще не видали такого.	neutral
477	-- Нет, не бойтесь, по крайней мере теперь я не расположен к этому.	neutral
478	-- Кого я захочу.	neutral
479	-- Не их дело.	neutral
480	-- А страшно тебе?	neutral
481	-- Пошел домой!	negative
482	-- А Рогожин женился бы?	neutral
483	-- Не могу: я у князя Тюменева обедаю; там будут все Горюновы и она, она...	neutral
484	-- И сапоги принесли?	neutral
485	-- Как ушла она третьего дня, так ещё тогда отец зубами заскрипел и с той поры так и был злющий, рычит.	negative
486	-- Вас видеть, больше ничего мне не угодно, -- произнес поручик Пирогов, довольно приятно улыбаясь и подступая ближе; но, заметив, что пугливая блондинка хотела проскользнуть в дверь, прибавил: -- Мне нужно, моя миленькая, заказать шпоры.	neutral
487	-- У меня никаких расчетов нет: я делаю это от...	neutral
489	-- Ну-у!	neutral
490	-- Ты прежде заведи дело, в которое мог бы броситься живой ум, гнушающийся мертвечины, и страстная душа, и укажи, как положить силы во что-нибудь, что стоит борьбы, -- а с своими картами, визитами, раутами и службой -- убирайся к черту!	neutral
493	-- Как бог даст, -- отвечала она, опуская голову.	neutral
494	-- Я не проповедую коммунизма, кузина, будьте покойны.	neutral
495	-- Сейчас бы сказала: пожалуйста, пожалуйста!	positive
496	-- Я еще нигде не остановился.	neutral
497	-- Ах ты, боже мой!	negative
499	-- Фу, бесстыдники, пристают!	negative
500	-- Да, господин Павлищев, который меня там содержал, два года назад помер; я писал потом сюда генеральше Епанчиной, моей дальней родственнице, но ответа не получил.	neutral
501	-- Даром деньги на франкировку письма истратили.	neutral
503	-- От мясника, от зеленщика, от прачки, от хлебника: все денег просят.	neutral
504	-- Ладно.	neutral
506	-- Говори, мы все тут.	neutral
507	-- С горя, матушка.	negative
508	-- Когда, -- говорит, -- человека душат, ему неловко говорить.	neutral
510	-- Все это лишнее, ненужное, cousin!	neutral
511	-- Да, забыла!	neutral
512	-- А то вы, пожалуй, их в воксал, на рулетку, поведете.	neutral
513	-- Да, он заходил сюда.	neutral
514	-- Пы-лой пы-лят...	neutral
515	-- Cousin, я была замужем, вы знаете...	neutral
517	-- А ну, перекрестись!	neutral
518	-- Наверное одно можно сказать -- мужчина.	neutral
520	-- Нет, Герасимыч, вы ошибаетесь; в этом вы, Герасимыч, ошибаетесь.	negative
521	-- Это от нечистоты, -- перебил Обломов.	negative
522	-- Пустим его на волю!	neutral
525	-- Вот, смотрите, совсем пьяная, сейчас шла по бульвару: кто ее знает, из каких, а не похоже, чтоб по ремеслу.	neutral
526	-- Ну, кикимора!	negative
527	-- А зачем вскачь не шла!	neutral
528	-- Вот и ты теперь сирота...	neutral
531	-- Кажется, вы сегодня опять намерены воевать со мной?	negative
533	-- Василий!	neutral
535	-- Вы так думали, -- вскричал я с каким-то странным наслаждением.	neutral
536	-- Оттого, -- говорит, -- дьявол и пишется рогат и козлоног, что он есть скотское начало в человеке.	negative
540	-- Разве можно жить без лишнего, без ненужного?	neutral
542	-- О чем?	neutral
543	-- В городе жил около года, а теперь перешел к вам на фабрику, месяц тому назад.	neutral
544	-- Чего?	neutral
545	-- Ты прости меня, -- иначе нельзя!	positive
546	-- Не дать-то им это можно-с, -- отвечал унтер-офицер в раздумье.	neutral
547	-- Так что же -- к своим, что ли, хочется?	neutral
550	-- Какой вопрос: разумеется!	positive
551	-- Ну, сыны, все готово!	neutral
554	-- Может, чайку выпьете?	neutral
556	-- А она тебя отваляет скалкой, как запрошлый раз...	negative
559	-- Как же, Мотька?	neutral
561	-- Да, да, будто я не вижу...	negative
562	-- Ложись, устала ведь.	positive
563	-- Пакость!..	negative
566	-- Здоровы ли вы?	neutral
567	-- До свидания, -- отвечал Шиллер, запирая за ним дверь.	neutral
568	-- Человека, человека давайте мне!	neutral
573	-- Как можно такою позднею порою отправляться в такую дальнюю дорогу!	neutral
575	-- Пропил!	negative
576	-- Ты играешь с женщинами, как я вижу, -- сказал Аянов.	neutral
577	-- А что, дядько, -- сказал молодой овчар с пуговицами, -- можно ли узнать по каким-нибудь приметам ведьму?	neutral
578	-- Да-с, Крестьян Иванович.	neutral
579	-- Ради бога, ради бога, Алексей Иванович, оставьте это бессмысленное намерение!	neutral
581	-- Не правда ли?	neutral
582	-- Да уж понятно-с, понятно-с, -- весело поддакнул чиновник.	positive
583	-- Да уж так-с; это, впрочем, постороннее дело; умеют этак иногда поднести коку с соком.	neutral
585	-- Довольно!	negative
586	-- Не хочется...	negative
587	-- Непременно; что ж ему останется делать?	neutral
590	-- Перестанет!..	neutral
591	-- Господи боже наш...	neutral
592	-- Ко мне пристают тоже.	neutral
593	-- Или хотите, может быть, собрать раду?	neutral
594	-- Они услышат.	neutral
595	-- Кто ты, и откудова, и какого звания, добрый человек?	neutral
598	-- Кто?	neutral
599	-- Денег не платишь и с фатеры не сходишь.	neutral
600	-- Не-ет.	neutral
603	-- Видно, у всякого свое горе, Антон Иваныч; вот я так сына провожаю.	neutral
604	-- Я таких людей видел!	neutral
605	-- Славная вы какая!	positive
607	-- А -- вот!..	neutral
608	-- А все-таки вам в приемную бы пожаловать, -- заметил он по возможности настойчивее.	neutral
609	-- На вот, подавись!	negative
610	-- Рассердился-то он рассердился, да, может, и стоило, -- отвечал Рогожин, -- но меня пуще всего брат доехал.	neutral
611	-- Позвольте, панове запорожцы, речь держать?	neutral
612	-- Когда так, то пусть будет так.	neutral
614	-- Что-с?	neutral
615	-- Иначе.	neutral
617	-- Полезь-ка, так узнает!	negative
618	-- Пошел свое!	negative
619	-- Что, панове?	neutral
620	-- Уберешь, а завтра опять наберется, -- говорил Захар.	neutral
621	-- Ну, понимаю, -- отвечал офицер, внимательно уставясь в горячившегося товарища.	neutral
622	-- Господь -- мне, я -- тебе, ты -- ему, а он -- опять господу, так оно у нас колесом и завертится...	neutral
625	-- Гряду -- значит иду?	neutral
626	-- Так он...	neutral
627	-- Барыня велела; мне что за дело, хоть брось!	negative
628	-- Не опоздала я?	neutral
629	-- Где дедушка?	neutral
631	-- Полтора рубля-с и процент вперед, коли хотите-с.	neutral
633	-- Да, из Швейцарии.	neutral
634	-- Видите ли, Герасимыч, -- сказал наш герой, с улыбочкой обращаясь к Герасимычу, -- вы возьмите да и прикажите, -- вот видите, свечка там в канделябре, Герасимыч, -- она сейчас упадет: так вы, знаете ли, прикажите поправить ее; она, право, сейчас упадет, Герасимыч...	neutral
635	-- Я не знаю.	neutral
636	-- Ваша воля.	neutral
638	-- А!	neutral
639	-- А что, Пульхерия Ивановна, -- говорил он, -- если бы вдруг загорелся дом наш, куда бы мы делись?	neutral
641	-- Бабуся!	neutral
642	-- Рогожин?	neutral
643	-- Нет.	neutral
644	-- Не можно, -- проворчала старуха, -- у меня народу полон двор, и все углы в хате заняты.	negative
645	-- Тетушка десять раз сочтет и спрячет к себе, -- сказала она, -- а я, как институтка, выпрашиваю свою долю, и она выдает мне, вы знаете, с какими наставлениями.	neutral
646	-- Кто смеет бить в литавры?	neutral
647	-- Не знаю, вельможный пан.	neutral
648	-- Еще бы; если не ошибаюсь, генерал успел уже занять у него денег.	neutral
650	-- Вы что скучный, Находка?	neutral
651	-- Нет, не все!	neutral
653	-- Так...	neutral
654	-- Ого!	neutral
655	-- Аграфена Ивановна!..	neutral
657	-- Она это наверно сказала?	neutral
658	-- А тётка Марья тоже дрыхнет?	neutral
659	-- Нечего разговаривать!	negative
660	-- Ещё чего?	neutral
661	-- Все с твоими метками, видишь -- А. А. А все голубушка Сонюшка!	neutral
662	-- По...	neutral
663	-- Больно?	neutral
664	-- Пусть хранит вас...	neutral
665	-- Девок-то!	neutral
666	-- Ну, что ж такое?	negative
667	-- Я, видишь, Ваня, обещал Анне Андреевне, -- начал он, немного путаясь и сбиваясь, -- обещал ей...	neutral
668	-- Нанимаем.	neutral
670	-- Гм!	neutral
671	-- И думать об этом нечего.	neutral
672	-- А ты не бойся, глупый!	negative
673	-- Не знаю, как вам сказать, -- ответил князь, -- только мне показалось, что в нем много страсти, и даже какой-то больной страсти.	neutral
674	-- Матвей, что значит -- камо?	neutral
677	-- А мы-то на что?	neutral
678	-- Нет, -- сказала она с прежней усмешкой.	negative
679	-- По крайней мере, -- перебил генерал, не расслышав о письме, -- вы чему-нибудь обучались, и ваша болезнь не помешает вам занять какое-нибудь, например, нетрудное место, в какой-нибудь службе?	neutral
681	-- И сапоги принесли.	neutral
682	-- Это ты к чему?	neutral
684	-- Зачем вы на меня так внимательно смотрите?	neutral
685	-- Я сам -- бог!	neutral
687	-- Зачем?	neutral
688	-- То -- приемная умерла.	negative
689	-- Мне никакого дела нет до того, глупа ли она иль умна, -- вскричал я.	negative
690	-- Славно, Мотька!	positive
691	-- Уж коли я ничего не делаю...	neutral
693	-- Где же деньги?	neutral
694	-- Страстно!	positive
695	-- Ух!	neutral
696	-- Пьяные, шалят, не наше дело, пойдем!	negative
698	-- И ты туда же!	negative
699	-- Раскольников, студент, был у вас назад тому месяц, -- поспешил пробормотать молодой человек с полупоклоном, вспомнив, что надо быть любезнее.	neutral
703	-- Знаете ли вы, кому это говорите?	neutral
704	-- На что?	neutral
706	-- Всё теряете!	negative
707	-- Я хочу сказать, Антон Антонович, что здесь есть новопоступивший чиновник.	neutral
711	-- О нет, светы, деревья -- кто ж им будет мешать в этом?	neutral
712	-- Вот это и есть -- запрещенные люди?	neutral
713	-- Д-да!	neutral
715	-- Да, показалось.	neutral
716	-- Женитесь на мне!	neutral
717	-- Что такое-с?	neutral
719	-- Ну, что нового у вас?	neutral
720	-- А по моему мнению, рулетка только и создана для русских, -- сказал я, и когда француз на мой отзыв презрительно усмехнулся, я заметил ему, что, уж конечно, правда на моей стороне, потому что, говоря о русских как об игроках, я гораздо более ругаю их, чем хвалю, и что мне, стало быть, можно верить.	neutral
721	-- Если уж так вам желательно, -- промолвил он, -- покурить, то оно, пожалуй, и можно, коли только поскорее.	neutral
722	-- Что у вас за страсть преследовать мои бедные правила?	neutral
723	-- Что, что тебе, девочка?	neutral
725	-- А по батюшке?	neutral
726	-- Я говорю тебе о блондинке, что прошла за ней в ту сторону.	neutral
